PI3	6.67377104112727e-26
IL1F6	2.60110773771584e-23
LCN2	3.43508034279437e-17
S100A9	2.92765511714418e-15
S100A8	6.55907765281127e-12
IL22	2.01520868480113e-11
CCL20	1.15230470780829e-10
IL17F	4.10754839870538e-10
IL17A	5.2973511080787e-10
CXCL10	3.72883489044019e-09
CTLA4	4.44355968200056e-09
IL1RN	8.75069427685372e-09
CXCL1	1.44358330395388e-08
CCL27	2.75265753843351e-08
CCL2	6.45969905257812e-08
CXCL8	1.39870265499765e-06
FOXP3	1.4435381224308e-06
IL1b	1.87262101453913e-06
PYCARD	2.31009274598369e-06
CXCL2	2.82681924682391e-06
AIM2	6.13100393377546e-06
IFIH1	1.01511801560379e-05
CCL5	4.94177831532838e-05
IL22RA1	0.00014006985422314
EOMES	0.00023045205231918
TNF	0.000350881871906494
IL26	0.000558693627751947
DEFB1	0.00281177876468409
IL10	0.00321077720859762
INFG	0.00649119830056694
IFNGR	0.00918562693305978
MICB	0.0100047559495612
IL22RA2	0.0194704406351075
NLRP3	0.0460451839729153
